City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Sakakah,29.9697,40.2064,53.17,61,0,13.35,SA,2022-02-10 01:40:41
99,Elizabeth City,36.2946,-76.2511,46.02,76,0,0.0,US,2022-02-10 01:40:42
100,Redmond,47.674,-122.1215,53.35,79,96,1.01,US,2022-02-10 01:39:46
101,Katakwi,1.8911,33.9661,71.02,44,100,3.06,UG,2022-02-10 01:33:55
102,Havre-Saint-Pierre,50.2334,-63.5986,30.2,93,100,6.91,CA,2022-02-10 01:39:57
103,Jamestown,42.097,-79.2353,45.72,37,0,11.5,US,2022-02-10 01:32:46
104,Nishihara,26.1842,127.7558,65.86,77,75,20.71,JP,2022-02-10 01:40:44
105,Aklavik,68.2191,-135.0107,-19.37,96,100,7.05,CA,2022-02-10 01:32:48
106,Paamiut,61.994,-49.6678,21.7,78,100,19.04,GL,2022-02-10 01:40:45
107,Salisbury,51.0693,-1.7957,47.48,92,75,5.75,GB,2022-02-10 01:40:46
108,Avarua,-21.2078,-159.775,80.65,83,100,16.11,CK,2022-02-10 01:32:45
109,Muborak,39.2553,65.1528,41.88,43,1,10.45,UZ,2022-02-10 01:40:47
110,Kuala Selangor,3.35,101.25,78.6,88,100,3.67,MY,2022-02-10 01:40:48
111,Pangnirtung,66.1451,-65.7125,-20.31,97,100,5.59,CA,2022-02-10 01:40:49
112,Staryy Nadym,65.6118,72.6842,-4.14,92,31,13.65,RU,2022-02-10 01:40:49
113,Cooma,-36.2333,149.1333,76.77,46,100,5.75,AU,2022-02-10 01:40:50
114,Coihaique,-45.5752,-72.0662,52.41,80,5,6.06,CL,2022-02-10 01:40:51
115,New Norfolk,-42.7826,147.0587,71.1,33,10,9.31,AU,2022-02-10 01:32:29
116,Ochakiv,46.6128,31.5498,30.34,84,7,9.08,UA,2022-02-10 01:40:52
117,Hondo,32.45,130.2,48.15,66,37,5.7,JP,2022-02-10 01:40:53
118,San Benito,36.6166,-121.0844,58.26,58,100,3.56,US,2022-02-10 01:40:53
119,Dharchula,29.85,80.5333,38.82,60,1,8.57,IN,2022-02-10 01:40:54
120,Archidona,37.0965,-4.3887,47.37,89,4,3.49,ES,2022-02-10 01:40:54
121,Mawlamyine,16.4914,97.6256,75.09,37,5,4.97,MM,2022-02-10 01:40:55
