City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
550,Kabanjahe,3.1001,98.4908,63.36,93,100,1.41,ID,2022-02-12 01:31:13,overcast clouds
551,Maribong,11.1,122.5333,78.39,88,100,10.69,PH,2022-02-12 01:35:21,overcast clouds
552,Trelew,-43.249,-65.3051,61.07,45,69,11.14,AR,2022-02-12 01:31:49,broken clouds
553,Opuwo,-18.0607,13.84,67.26,92,100,4.99,NA,2022-02-12 01:35:22,overcast clouds
554,West Wendover,40.7391,-114.0733,46.51,33,68,6.93,US,2022-02-12 01:35:23,broken clouds
555,Salto,-31.3833,-57.9667,81.88,57,100,21.99,UY,2022-02-12 01:35:02,overcast clouds
556,Staryy Urukh,43.3404,44.0187,35.98,70,1,4.56,RU,2022-02-12 01:36:23,clear sky
557,Ukholovo,53.7929,40.4892,14.07,96,10,7.74,RU,2022-02-12 01:36:24,clear sky
558,Kandrian,-6.2167,149.55,78.31,91,92,5.57,PG,2022-02-12 01:36:24,moderate rain
559,Amazar,53.858,120.875,-6.07,75,87,4.12,RU,2022-02-12 01:36:24,overcast clouds
560,Bocas Del Toro,9.3333,-82.25,78.57,77,64,4.99,PA,2022-02-12 01:36:25,broken clouds
561,Olafsvik,64.8945,-23.7142,27.52,73,100,23.04,IS,2022-02-12 01:36:25,overcast clouds
562,Rawicz,51.6095,16.8585,36.21,97,6,8.57,PL,2022-02-12 01:36:26,clear sky
563,Dunedin,-45.8742,170.5036,61.81,62,100,8.01,NZ,2022-02-12 01:36:26,overcast clouds
564,Santa Sofia,43.9445,11.9087,46.45,96,100,7.23,IT,2022-02-12 01:36:26,overcast clouds
565,Ipixuna,-1.7625,-48.8043,78.75,94,100,3.44,BR,2022-02-12 01:36:27,overcast clouds
566,Paamiut,61.994,-49.6678,32.13,76,100,25.97,GL,2022-02-12 01:36:27,overcast clouds
567,Gravdal,68.1214,13.5031,30.0,79,100,8.57,NO,2022-02-12 01:36:27,light snow
568,Togur,58.3631,82.8265,-15.36,99,43,6.08,RU,2022-02-12 01:36:28,scattered clouds
569,Skelleftea,64.7507,20.9528,21.56,86,100,5.75,SE,2022-02-12 01:36:28,overcast clouds
570,Kupang,-10.1667,123.5833,82.62,77,100,1.23,ID,2022-02-12 01:36:29,overcast clouds
571,Progreso,21.2833,-89.6667,77.11,80,100,13.56,MX,2022-02-12 01:36:29,overcast clouds
572,Mangai,-4.05,19.5333,72.19,92,98,2.44,CD,2022-02-12 01:36:29,overcast clouds
573,Agde,43.3108,3.4758,43.45,60,0,2.3,FR,2022-02-12 01:36:30,clear sky
574,Gejiu,23.306,103.1635,45.9,80,56,5.37,CN,2022-02-12 01:36:30,broken clouds
575,Sulangan,11.1373,123.7228,79.57,85,72,14.85,PH,2022-02-12 01:36:31,broken clouds
576,Vostok,46.4856,135.8833,18.28,93,100,3.67,RU,2022-02-12 01:36:31,light snow
577,Pokhara,28.2333,83.9833,50.31,37,0,3.8,NP,2022-02-12 01:36:31,clear sky
578,Derzhavinsk,51.1,66.3167,20.77,97,98,5.95,KZ,2022-02-12 01:36:32,overcast clouds
579,Turka,49.1541,23.0297,30.79,91,100,7.4,UA,2022-02-12 01:36:32,overcast clouds
580,Dekar,-21.5333,21.9333,68.07,73,44,5.03,BW,2022-02-12 01:36:33,scattered clouds
581,Bayburt,40.2589,40.2278,3.87,77,6,2.77,TR,2022-02-12 01:36:33,clear sky
582,Hay River,60.8156,-115.7999,-4.02,71,75,4.61,CA,2022-02-12 01:36:33,broken clouds
583,San Rafael,-34.6177,-68.3301,66.09,46,100,14.83,AR,2022-02-12 01:35:16,overcast clouds
584,Nioro,13.35,-15.75,77.4,12,28,11.86,GM,2022-02-12 01:36:34,scattered clouds
585,Pemba,-12.974,40.5178,75.74,88,100,5.95,MZ,2022-02-12 01:36:34,overcast clouds
586,Tucurui,-3.7661,-49.6725,73.29,96,99,3.0,BR,2022-02-12 01:36:35,overcast clouds
587,Dukat,62.55,155.55,-13.72,77,76,3.42,RU,2022-02-12 01:36:35,broken clouds
588,Hastings,50.8552,0.5729,45.0,77,91,14.38,GB,2022-02-12 01:36:35,overcast clouds
589,Morehead,37.2711,-87.1764,51.15,69,100,3.0,US,2022-02-12 01:34:29,overcast clouds
590,Maine-Soroa,13.2114,12.0241,60.26,20,0,10.49,NE,2022-02-12 01:36:36,clear sky
591,Panama City,8.9936,-79.5197,82.06,72,20,8.05,PA,2022-02-12 01:36:36,few clouds
592,Singkang,2.1006,102.7994,76.89,85,100,2.89,MY,2022-02-12 01:36:37,overcast clouds
593,Ixtapa,20.7,-105.2,74.43,60,0,8.05,MX,2022-02-12 01:36:37,clear sky
594,Decin,50.7822,14.2148,36.95,97,99,6.35,CZ,2022-02-12 01:36:37,light snow
595,Safranbolu,41.2508,32.6942,28.15,79,2,2.42,TR,2022-02-12 01:36:38,clear sky
596,Linares,-35.85,-71.6,65.17,21,0,2.84,CL,2022-02-12 01:36:38,clear sky
597,Rocha,-34.4833,-54.3333,68.02,96,100,3.96,UY,2022-02-12 01:36:39,moderate rain
598,Belmonte,-15.8631,-38.8828,79.3,87,26,3.38,BR,2022-02-12 01:36:39,scattered clouds
599,Santiago De Cao,-7.9589,-79.2392,69.93,83,100,8.05,PE,2022-02-12 01:36:39,mist
600,Boulsa,12.6675,-0.5758,72.41,11,1,8.46,BF,2022-02-12 01:36:40,clear sky
601,Katherine,-14.4667,132.2667,88.12,66,75,8.05,AU,2022-02-12 01:36:40,broken clouds
602,San Roque,36.2107,-5.3842,58.03,72,20,16.11,ES,2022-02-12 01:36:40,few clouds
603,Iguatu,-6.3594,-39.2986,75.67,79,95,4.29,BR,2022-02-12 01:36:41,overcast clouds
604,Gamba,-2.65,10.0,76.57,90,96,5.46,GA,2022-02-12 01:37:41,overcast clouds
605,Faya,18.3851,42.4509,51.91,88,8,3.58,SA,2022-02-12 01:37:42,clear sky
606,Djenne,13.9061,-4.5533,67.28,17,0,10.8,ML,2022-02-12 01:37:42,clear sky
607,Konstantinovka,49.6167,127.9833,5.22,90,100,11.95,RU,2022-02-12 01:37:43,overcast clouds
608,Akdepe,42.0551,59.3788,33.8,68,34,6.22,TM,2022-02-12 01:37:43,scattered clouds
609,Sistranda,63.7256,8.834,37.36,68,100,32.7,NO,2022-02-12 01:37:43,overcast clouds
610,Luebo,-5.35,21.4167,70.02,96,93,2.01,CD,2022-02-12 01:37:44,overcast clouds
611,Oranjestad,12.524,-70.027,80.55,69,20,19.57,AW,2022-02-12 01:37:44,few clouds
612,Khani,41.9563,42.9566,26.17,77,13,7.81,GE,2022-02-12 01:37:44,few clouds
613,Danielskuil,-28.1887,23.5395,69.24,56,19,5.73,ZA,2022-02-12 01:37:45,few clouds
614,Cicero Dantas,-10.6,-38.3833,72.64,79,11,7.74,BR,2022-02-12 01:37:45,few clouds
615,Kamen-Rybolov,44.7481,132.0403,16.84,64,17,6.6,RU,2022-02-12 01:37:46,few clouds
616,Calvinia,-31.4707,19.776,76.06,24,99,2.71,ZA,2022-02-12 01:37:46,overcast clouds
617,Sorong,-0.8833,131.25,82.9,71,99,1.61,ID,2022-02-12 01:37:46,overcast clouds
618,Husavik,66.0449,-17.3389,21.11,85,100,8.28,IS,2022-02-12 01:37:47,overcast clouds
619,Chara,56.9064,118.2631,-22.59,92,100,1.23,RU,2022-02-12 01:37:47,overcast clouds
620,Kusti,13.1629,32.6635,66.58,15,0,11.16,SD,2022-02-12 01:37:48,clear sky
621,Robertsport,6.7533,-11.3686,78.26,91,4,7.18,LR,2022-02-12 01:37:48,light rain
622,Belaya Gora,68.5333,146.4167,-21.66,94,98,5.03,RU,2022-02-12 01:37:48,overcast clouds
623,Antofagasta,-23.65,-70.4,69.08,78,10,5.21,CL,2022-02-12 01:37:49,clear sky
624,Burnie,-41.0667,145.9167,64.92,56,0,8.57,AU,2022-02-12 01:37:49,clear sky
625,Unhel,23.3333,75.5667,52.74,47,4,3.83,IN,2022-02-12 01:37:50,clear sky
626,Pampa,35.5362,-100.9599,46.56,57,0,8.05,US,2022-02-12 01:32:54,clear sky
627,Lumsden,50.6501,-104.8678,5.97,92,100,1.77,CA,2022-02-12 01:37:50,overcast clouds
628,Nkhata Bay,-11.6066,34.2907,70.99,87,100,5.86,MW,2022-02-12 01:37:50,overcast clouds
629,Sembe,1.6481,14.5806,69.6,59,12,1.81,CG,2022-02-12 01:37:51,few clouds
630,Esmeraldas,-19.7625,-44.3139,69.04,98,100,3.18,BR,2022-02-12 01:37:51,overcast clouds
631,Ponta Delgada,37.7333,-25.6667,61.5,63,75,8.05,PT,2022-02-12 01:37:52,broken clouds
