City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Dhidhdhoo,MV,81.7,broken clouds,6.8833,73.1,Dhidhoo beach
551,Maribong,PH,78.39,overcast clouds,11.1,122.5333,Highway Inn Pension House
555,Salto,UY,81.88,overcast clouds,-31.3833,-57.9667,Gran Hotel Uruguay
558,Kandrian,PG,78.31,moderate rain,-6.2167,149.55,Kandrian Station
560,Bocas Del Toro,PA,78.57,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
565,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
570,Kupang,ID,82.62,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
571,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
575,Sulangan,PH,79.57,broken clouds,11.1373,123.7228,Maia's Beach Resort
584,Nioro,GM,77.4,scattered clouds,13.35,-15.75,
585,Pemba,MZ,75.74,overcast clouds,-12.974,40.5178,Guesthouse Samotina
591,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Riande Urban Hotel
592,Singkang,MY,76.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
598,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
601,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
603,Iguatu,BR,75.67,overcast clouds,-6.3594,-39.2986,Havenna Hotel
604,Gamba,GA,76.57,overcast clouds,-2.65,10.0,
611,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
616,Calvinia,ZA,76.06,overcast clouds,-31.4707,19.776,Die Lemoenhuis
617,Sorong,ID,82.9,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
621,Robertsport,LR,78.26,light rain,6.7533,-11.3686,Kwepunha Retreat
637,Mbandaka,CD,76.03,overcast clouds,0.0487,18.2603,Guest House Epervier
638,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
639,Maragogi,BR,79.21,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
642,Villa Del Rosario,CO,75.58,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
645,Beira,MZ,82.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
651,Ewa Beach,US,81.77,clear sky,21.3156,-158.0072,Uncle Junior Robert
657,Natal,BR,82.62,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
664,Ikot Ekpene,NG,76.44,clear sky,5.1794,7.7108,Prespter Royal Dutch
667,Port Augusta,AU,85.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
670,Kalmunai,LK,76.66,overcast clouds,7.4167,81.8167,VS Villa
676,Trat,TH,83.25,overcast clouds,12.5,102.5,สวนหนิง-อัศ
685,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
686,Matara,LK,75.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
692,Goya,AR,77.34,overcast clouds,-29.14,-59.2626,Apart Costanera Goya
694,Dingle,PH,80.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
695,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
